texto,intencion
¿Hay algún supervisor disponible?,escalamiento_urgente
Hacen cambio de bateria el mismo dia,consulta_servicio_tecnico
Hola ¿a que hora abren hoy?,saludo_cierre
La garantia aplica si yo no lo golpee,solicitud_garantia_cambio
Tienen stock para entrega hoy mismo?,consulta_producto
El protector de camara se despinto rapidisimo,queja_producto_servicio
Perfecto ya paso en la tarde,saludo_cierre
Buenos dias alguien despierto?,saludo_cierre
Buenas tardes ¿están atendiendo?,saludo_cierre
Ese case transparente es para todos los modelos?,consulta_producto
Voy a poner una queja formal si no me solucionan esto hoy,escalamiento_urgente
Cambian la cámara trasera del iPhone 11,consulta_servicio_tecnico
Deje mi cel el miercoles ya esta listo?,seguimiento_reparacion
Cuanto cuesta si solo es cambio de vidrio sin pantalla?,consulta_servicio_tecnico
Hola buen dia una consulta rapida,saludo_cierre
Tienen el iPhone 16 en color titanio?,consulta_producto
Tienen garantía de fábrica en los productos nuevos?,consulta_producto
Mi pantalla está quiñada ¿cuánto me cobran?,consulta_servicio_tecnico
Hola qué tal,saludo_cierre
El case llego sin empaque ni garantia escrita,queja_producto_servicio
¿Tienen protector para el iPhone 13 mini?,consulta_producto
¿Cuándo estará lista mi reparación?,seguimiento_reparacion
Manejan case con soporte para tarjetas?,consulta_producto
La mica que me vendieron se despegó al día siguiente,queja_producto_servicio
Me pueden confirmar si ya terminaron con mi equipo?,seguimiento_reparacion
En que colores tienen el iPhone 16,consulta_producto
Voy a reportar esto si no me atienden ya,escalamiento_urgente
Buenas queria saber algo antes de comprar,saludo_cierre
¿Cuánto me sale cambiar la batería de mi iPhone 13?,consulta_servicio_tecnico
La reparacion quedo con un ruido raro en el altavoz,queja_producto_servicio
Trabajan con garantia en las reparaciones?,consulta_servicio_tecnico
Muchas gracias hasta luego,saludo_cierre
Tienen tecnico especializado en placas?,consulta_servicio_tecnico
¿En qué colores tienen el iPhone 16?,consulta_producto
Hola buenas quería consultar algo,saludo_cierre
La mica antiespía le hace al 15 Pro Max,consulta_producto
Ya se hizo el cambio de pantalla que dejé ayer?,seguimiento_reparacion
¿A cuánto me sale el iPhone 15?,consulta_precio
Buenas tardes queria consultar algo rapido,saludo_cierre
Puedo llamar para preguntar por mi orden de reparacion?,seguimiento_reparacion
A qué número me llaman cuando esté listo,seguimiento_reparacion
Me cambiaron la bateria y dura menos que antes,queja_producto_servicio
Me devolvieron el cel más rayado de como lo dejé,queja_producto_servicio
El case MagSafe no carga los imanes no jalan bien,queja_producto_servicio
Me entregaron mi cel con una mancha en pantalla que antes no tenia,queja_producto_servicio
Buenas tardes ¿estan atendiendo?,saludo_cierre
Me pueden decir el precio del case con MagSafe integrado?,consulta_precio
Me cobraron de mas por el diagnostico,queja_producto_servicio
¿Tienen alguna promo por cantidad?,consulta_precio
Cuánto cuesta el cambio de batería original?,consulta_precio
El accesorio que compré dejó de funcionar en dos días,queja_producto_servicio
Dejé el iPhone para cambio de batería hace 3 días,seguimiento_reparacion
Cuanto me cuesta el diagnostico,consulta_servicio_tecnico
Tienen audífonos compatibles con iPhone?,consulta_producto
Tienen algo para proteger los bordes del cel?,consulta_producto
Esto no puede esperar necesito atencion prioritaria,escalamiento_urgente
Puedo cambiar el case dentro de los 7 días de comprado?,solicitud_garantia_cambio
Puedo cambiar el color del case que compré?,solicitud_garantia_cambio
¿Puedo pasar a recoger hoy o todavia no esta?,seguimiento_reparacion
Esto es urgente mi cel es mi único medio de trabajo,escalamiento_urgente
La mica antiespia le hace al 15 Pro Max,consulta_producto
Hacen limpieza interna si se mojo el cel?,consulta_servicio_tecnico
Mi iPhone se reinicia solo podrian verlo?,consulta_servicio_tecnico
Cuánto más falta para terminar mi reparación?,seguimiento_reparacion
¿Cuánto está la mica antiespía?,consulta_precio
Ok gracias por la info voy a pensarlo,saludo_cierre
Ya escribí tres veces necesito que me atiendan ya,escalamiento_urgente
Hay rebaja por pago en efectivo?,consulta_precio
Tienen garantia de fabrica en los productos nuevos?,consulta_producto
¿Cuanto me cuesta el diagnostico?,consulta_servicio_tecnico
Pueden pasarme con un supervisor ahora?,escalamiento_urgente
Cuál es el número de mi orden para hacer seguimiento?,seguimiento_reparacion
Hola buenas tengo una duda rápida,saludo_cierre
Cuanto dura la garantia de la pantalla cambiada?,solicitud_garantia_cambio
Me pueden avisar cuando este lista la reparacion?,seguimiento_reparacion
Cuánto tiempo de garantía tienen los accesorios,solicitud_garantia_cambio
Buenos días dejé mi cel ayer para cambio de pantalla ¿ya está listo?,seguimiento_reparacion
Deje mi celular el viernes ¿ya llegaron los repuestos?,seguimiento_reparacion
Necesito una solucion ahora no mañana,escalamiento_urgente
Tienen protector de cámara para el 15 Pro?,consulta_producto
Tienen algun precio especial para empresas,consulta_precio
Precio del case transparente para el 15,consulta_precio
Tienen audifonos compatibles con iPhone?,consulta_producto
Necesito que revisen de nuevo mi cel por la misma falla,solicitud_garantia_cambio
A cuanto el case MagSafe para el 14,consulta_precio
Vale gracias quedo atento,saludo_cierre
El case llegó defectuoso ¿puedo devolverlo?,solicitud_garantia_cambio
Hacen reparación de puerto de carga?,consulta_servicio_tecnico
Cuánto me sale cambiar la batería de mi iPhone 13,consulta_servicio_tecnico
Arreglan el Touch ID que dejó de funcionar,consulta_servicio_tecnico
Hola ¿a que hora puedo recoger mi iPhone?,seguimiento_reparacion
El servicio técnico trabaja con repuestos sellados?,consulta_servicio_tecnico
Me dijeron 2 días y ya pasó una semana qué pasó?,seguimiento_reparacion
Cuánto sale la mica trasera para el 14 Pro Max?,consulta_precio
Cambian la camara trasera del iPhone 11?,consulta_servicio_tecnico
Me cambiaron la pantalla y quedó mala quiero que la revisen de nuevo,solicitud_garantia_cambio
A cuanto esta el protector de camara?,consulta_precio
