texto,intencion
Cuanto cobran por el diagnostico si no es garantia?,consulta_precio
¿Me pueden comunicar con alguien que me solucione esto?,escalamiento_urgente
La garantia aplica si yo no lo golpee?,solicitud_garantia_cambio
El case transparente amarillea con el tiempo?,consulta_producto
Hacen reparacion de puerto de carga?,consulta_servicio_tecnico
tiene algunas fundas para mi compra?,consulta_producto
Tienen stock del 16 Pro Max?,consulta_producto
Quiero garantia por la bateria que se agota rapido,solicitud_garantia_cambio
¿A cuánto el case MagSafe para el 14?,consulta_precio
Cuánto vale el cargador MagSafe original?,consulta_precio
Hola ¿a que hora abren hoy?,saludo_cierre
"Si compro dos productos, recibire algun descuento? cuanto seria en total?",consulta_precio
Ok ya con eso está. Gracias,saludo_cierre
Me pueden comunicar con alguien que me solucione esto,escalamiento_urgente
Hola ¿siguen abiertos?,saludo_cierre
Exijo que me devuelvan mi dinero,escalamiento_urgente
Cuánto tiempo más falta para que esté listo?,seguimiento_reparacion
El técnico no me explicó qué le hizo a mi cel,queja_producto_servicio
¿Cuánto me sale el iPhone 16 Pro de 128?,consulta_precio
Tienen mica completa para el iPhone 14,consulta_producto
Alguna actualización sobre mi orden de servicio?,seguimiento_reparacion
Hola espero estén bien quería consultar,saludo_cierre
La reparacion demoro el doble de lo prometido,queja_producto_servicio
Quiero cambiar la mica no le hace bien a mi iPhone 14,solicitud_garantia_cambio
Si no me atienden bien voy a poner reseña en Google,escalamiento_urgente
El protector de cámara viene con instalación incluida?,consulta_producto
Hola buenas queria consultar algo,saludo_cierre
Precio del case transparente para el 15,consulta_precio
se equivocaron no solicite esto,queja_producto_servicio
¿A cuánto la mica completa para el 14 Pro?,consulta_precio
puedo llevarselos para que lo revisen?,consulta_servicio_tecnico
Cuánto me costaría cambiar pantalla y batería juntos?,consulta_precio
Ya me toca recoger mi cel o todavía no?,seguimiento_reparacion
A cuánto me saldría el 16 Pro Max 256GB,consulta_precio
¿Cuanto me cuesta el diagnostico?,consulta_servicio_tecnico
Hacen limpieza interna si se mojo el cel?,consulta_servicio_tecnico
Tienen repuestos originales para bateria?,consulta_producto
sabe si se puede correguir?,consulta_servicio_tecnico
"Ok gracias, cualquier cosa les escribo",saludo_cierre
El case no aguanto ni una semana quiero cambio,solicitud_garantia_cambio
Me vendieron el case equivocado ¿me lo pueden cambiar?,solicitud_garantia_cambio
como es posible que ni siquiera lo he usado una semana y ya no funciona?,queja_producto_servicio
Cuánto cuesta el cambio de batería original?,consulta_precio
Pueden decirme porque no llego el producto que compre? llego otro producto,queja_producto_servicio
Puedo cambiar el case dentro de los 7 días de comprado?,solicitud_garantia_cambio
El case se agrieto solo guardado en mi mochila,queja_producto_servicio
cuanto tiempo mas les demorara arreglarlo?,seguimiento_reparacion
Me devolvieron el cel más rayado de como lo dejé,queja_producto_servicio
Esto se está saliendo de control necesito ayuda ya,escalamiento_urgente
Tienen iPhone 13 Pro en color grafito?,consulta_producto
La reparacion quedo con un ruido raro en el altavoz,queja_producto_servicio
Hacen envíos a provincia?,consulta_producto
Tienen mica de vidrio templado 9H?,consulta_producto
"esa funda para mi celular, cuanto esta?",consulta_precio
El case que pedí llegó de otro color,queja_producto_servicio
Tienen oferta esta semana en accesorios?,consulta_precio
Pueden pasarme con un supervisor ahora?,escalamiento_urgente
Mi cel salio con menos bateria despues del cambio,queja_producto_servicio
Cuándo estará lista mi reparación,seguimiento_reparacion
pueden revisarlo? la carga dejo de trabajar y ya no funciona,consulta_servicio_tecnico
Cuanto me sale cambiar la bateria de mi iPhone 13,consulta_servicio_tecnico
Dejé el cel el martes cuándo puedo recogerlo?,seguimiento_reparacion
El case que compré llegó rayado de fábrica,queja_producto_servicio
Como hago para usar la garantia de la reparacion,solicitud_garantia_cambio
¿Tienen algun precio especial para empresas?,consulta_precio
Cuánto sale instalar la mica en tienda?,consulta_precio
"ni siquiera prendio, lo devolvere",solicitud_garantia_cambio
Me dijeron 2 días y ya pasó una semana qué pasó?,seguimiento_reparacion
El protector de camara se despinto rapidisimo,queja_producto_servicio
Ya tienen el diagnóstico de mi celular?,seguimiento_reparacion
Buenas tardes queria consultar algo rapido,saludo_cierre
Me urge hablar con alguien ahora mismo,escalamiento_urgente
no compre esto,queja_producto_servicio
que tipo de marcas tiene?,consulta_producto
Dejé mi iPhone 13 para diagnóstico el lunes ¿ya tienen resultado?,seguimiento_reparacion
Ok perfecto nos vemos en tienda,saludo_cierre
Cuanto cuesta el cambio de bateria original?,consulta_precio
Puedo cambiar el color del case que compré?,solicitud_garantia_cambio
A cuánto la mica completa para el 14 Pro?,consulta_precio
Cuanto dura la garantia de la pantalla cambiada?,solicitud_garantia_cambio
Hacen pedidos personalizados de case?,consulta_producto
que especificaciones tiene ese modelito?,consulta_producto
vende alguna marca de Apple Watch?,consulta_producto
pueden cambiarmelo? dejo de funcionar,solicitud_garantia_cambio
Quiero hablar con el dueño directamente,escalamiento_urgente
Venden solo la mica sin instalacion?,consulta_producto
Exijo garantia porque el problema volvio a los 2 dias,solicitud_garantia_cambio
El case llegó defectuoso ¿puedo devolverlo?,solicitud_garantia_cambio
cual es el precio del nuevo iPhone?,consulta_precio
A cómo está el iPhone 11 usado?,consulta_precio
Hacen limpieza interna si se mojó el cel?,consulta_servicio_tecnico
La mica se burbujeó sola ¿me la cambian?,solicitud_garantia_cambio
dispone del nuevo modelo de iPhone?,consulta_producto
Ok ya con eso esta. Gracias,saludo_cierre
A cuánto sale el iPhone 12 mini?,consulta_precio
"se cayo accidentalmente, pueden revisarlo?",consulta_servicio_tecnico
Tienen protector de cámara para el 15 Pro?,consulta_producto
Hola ¿tienen el 11 reacondicionado?,consulta_producto
Cuál es el costo de envío si lo pido a domicilio?,consulta_precio
La mica antiespía le hace al 15 Pro Max,consulta_producto
Tienen alguna promo por cantidad?,consulta_precio
Mi cel no carga bien podrian revisarlo?,consulta_servicio_tecnico
Quiero que me cambien el case está mal hecho,solicitud_garantia_cambio
Hay algun supervisor disponible,escalamiento_urgente
Alguien puede atenderme ahora es una emergencia,escalamiento_urgente
y cuanto me costaria en total?,consulta_precio
Necesito que alguien me llame ya mismo,escalamiento_urgente
Manejan case con soporte para tarjetas?,consulta_producto
Buenas tardes quería consultar algo rápido,saludo_cierre
Tienen repuestos originales para batería?,consulta_producto
¿En que colores tienen el iPhone 16?,consulta_producto
Compre un protector y ya se rajo sin haberlo golpeado,queja_producto_servicio
Muchas gracias hasta luego,saludo_cierre
Cuánto está saliendo el iPhone 13 reacondicionado ahora?,consulta_precio
Cuanto esta el cambio de pantalla para el iPhone 14,consulta_servicio_tecnico
Tienen stock para entrega hoy mismo?,consulta_producto
Exijo garantía porque el problema volvió a los 2 días,solicitud_garantia_cambio
ya puede funcionar?,seguimiento_reparacion
Tienen audífonos compatibles con iPhone?,consulta_producto
Quiero que revisen mi cel la reparación no quedó bien,solicitud_garantia_cambio
¿Tienen algún precio especial para empresas?,consulta_precio
Necesito una respuesta ahora no puedo esperar más,escalamiento_urgente
Ok entendido gracias,saludo_cierre
En que colores tienen el iPhone 16,consulta_producto
Precio del case transparente para el 15?,consulta_precio
¿El case MagSafe le hace al 13 Pro?,consulta_producto
Tienen alguna promo por cantidad,consulta_precio
Arreglan el Touch ID que dejó de funcionar?,consulta_servicio_tecnico
¿Cuánto está el iPhone 12 reacondicionado?,consulta_precio
Como va el diagnostico de mi iPhone?,seguimiento_reparacion
A cuanto me sale el iPhone 15?,consulta_precio
El case no aguantó ni una semana quiero cambio,solicitud_garantia_cambio
Hay algun supervisor disponible?,escalamiento_urgente
necesito un supervisor ahora mismo,escalamiento_urgente
Cuándo estará lista mi reparación?,seguimiento_reparacion
Cambian la pantalla original o es genérica?,consulta_servicio_tecnico
Venden solo la mica sin instalación?,consulta_producto
Cuánto me sale cambiar la batería de mi iPhone 13,consulta_servicio_tecnico
La reparación no quedó bien exijo que la rehagan,solicitud_garantia_cambio
Ese case transparente es para todos los modelos?,consulta_producto
A qué hora cierran para poder recoger mi cel?,seguimiento_reparacion
Que marcas de celulares tiene?,consulta_producto
¿A cuánto me saldría el 16 Pro Max 256GB?,consulta_precio
Cuanto demoran en cambiar una pantalla rajada?,consulta_servicio_tecnico
necesito devolver esto,solicitud_garantia_cambio
Cambian la camara trasera del iPhone 11?,consulta_servicio_tecnico
Perfecto quedo pendiente entonces,saludo_cierre
Ese case transparente es para todos los modelos,consulta_producto
¿La garantía aplica si yo no lo golpeé?,solicitud_garantia_cambio
Me cambiaron la bateria y dura menos que antes,queja_producto_servicio
Tienen stock de mica mate?,consulta_producto
Ya tienen el diagnostico de mi celular?,seguimiento_reparacion
Cuanto sale el iPhone 16 Plus nuevo?,consulta_precio
¿Cuando estara lista mi reparacion?,seguimiento_reparacion
La bateria que me pusieron no dura nada ¿tienen garantia?,solicitud_garantia_cambio
que tipo de protectores de pantalla tiene? para mi celular?,consulta_producto
Puedo cambiar el color del case que compre?,solicitud_garantia_cambio
Me dieron el case de un modelo diferente al que pedi,solicitud_garantia_cambio
Ya me cansé de esperar necesito respuesta ya,escalamiento_urgente
¿Tienen cases para el 14 Plus?,consulta_producto
es capas de ser arreglado,consulta_servicio_tecnico
Cuánto tiempo de garantía dan por reparación?,consulta_servicio_tecnico
No tengo tiempo que perder necesito esto resuelto ya,escalamiento_urgente
Cuánto demoran en cambiar una pantalla rajada?,consulta_servicio_tecnico
"en este momento, contactame con alguien",escalamiento_urgente
Mi pantalla está quiñada ¿cuánto me cobran?,consulta_servicio_tecnico
ya se soluciono? como van las reparaciones?,seguimiento_reparacion
¿A cuánto me sale el iPhone 15?,consulta_precio
Deje mi cel hace 4 dias y no se nada ¿pueden decirme como va?,seguimiento_reparacion
estoy buscando un celular de gama alta,consulta_producto
Me cambiaron la pantalla y quedó mala quiero que la revisen de nuevo,solicitud_garantia_cambio
Mi cel se calienta mucho podrian revisar por que?,consulta_servicio_tecnico
Buenas tardes ¿están atendiendo?,saludo_cierre
El case MagSafe no carga los imanes no jalan bien,queja_producto_servicio
Manejan power bank compatible con MagSafe?,consulta_producto
Buenos dias alguien despierto?,saludo_cierre
Cuánto sale la mica trasera para el 14 Pro Max?,consulta_precio
La mica se despego de una esquina al segundo dia,queja_producto_servicio
Tienen protector para el iPhone 13 mini?,consulta_producto
A cuánto me sale la mica normal para el 13?,consulta_precio
Hacen diagnostico gratis o tiene costo?,consulta_servicio_tecnico
El case llegó sin la caja y sin accesorios,queja_producto_servicio
Cuánto tiempo más falta para que esté listo,seguimiento_reparacion
Muchas gracias por la rapidez,saludo_cierre
¿A cuanto me saldria el 16 Pro Max 256GB?,consulta_precio
¿Cuánto tiempo de garantía tienen los accesorios?,solicitud_garantia_cambio
Me pueden confirmar si ya terminaron con mi equipo?,seguimiento_reparacion
Llevo una semana esperando y nadie me da respuesta,escalamiento_urgente
¿Cuánto tiempo más falta para que esté listo?,seguimiento_reparacion
cuanto se demoraran en arreglarlo?,seguimiento_reparacion
Cuanto esta el iPhone 12 reacondicionado?,consulta_precio
puedo al menos contactar con alguna persona?,escalamiento_urgente
Mi cel cayó y la pantalla quedó rajada ¿cuánto me sale arreglarlo?,consulta_servicio_tecnico
¿Que accesorios tienen para el iPhone 12?,consulta_producto
Esto ya es demasiado quiero solución inmediata,escalamiento_urgente
Quiero que revisen mi cel la reparacion no quedo bien,solicitud_garantia_cambio
Aplica la garantía si fue un defecto de fábrica?,solicitud_garantia_cambio
Cuanto tiempo de garantia dan por reparacion?,consulta_servicio_tecnico
Venden cargadores originales Apple?,consulta_producto
Cambian conector de carga tipo USB-C?,consulta_servicio_tecnico
llego roto,queja_producto_servicio
Me dijeron un precio y en la boleta salio mas caro,queja_producto_servicio
A cuanto la mica completa para el 14 Pro,consulta_precio
Quiero hablar con el gerente ahora mismo,escalamiento_urgente
Mi cel salió con menos batería después del cambio,queja_producto_servicio
Me devolvieron el cel mas rayado de como lo deje,queja_producto_servicio
Necesito hablar con alguien que realmente pueda ayudarme,escalamiento_urgente
